epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.3229166567325592,1.099945306777954,0.01,0.3333333432674408,1.142110824584961
1,0.3645833432674408,0.9953585267066956,0.01,0.1666666716337204,1.0302151441574097
2,0.4895833432674408,0.9372823238372803,0.01,0.8333333134651184,0.9593797326087952
3,0.7604166865348816,0.9121553301811218,0.01,0.875,0.9221206307411194
4,0.8958333134651184,0.8849873542785645,0.01,0.9166666865348816,0.8683091998100281
5,0.8229166865348816,0.8662664890289307,0.01,0.8333333134651184,0.8561065793037415
6,0.8229166865348816,0.8484557271003723,0.01,0.75,0.8278689384460449
7,0.90625,0.8185367584228516,0.01,0.875,0.7649927735328674
8,0.8229166865348816,0.796972930431366,0.01,1.0,0.7472586631774902
9,0.8333333134651184,0.7792369723320007,0.01,0.9583333134651184,0.7325465083122253
10,0.9166666865348816,0.7636839747428894,0.01,1.0,0.7020912170410156
11,0.8541666865348816,0.743790328502655,0.01,1.0,0.6903578639030457
12,0.9270833134651184,0.7291639447212219,0.01,0.9583333134651184,0.6661300659179688
13,0.8541666865348816,0.7118799686431885,0.01,1.0,0.6535857915878296
14,0.8229166865348816,0.7049630284309387,0.01,0.9166666865348816,0.645824134349823
15,0.8958333134651184,0.6839764714241028,0.01,0.8333333134651184,0.5906370282173157
16,0.7604166865348816,0.6711671352386475,0.01,1.0,0.5978212952613831
17,0.96875,0.656139612197876,0.01,0.9583333134651184,0.5753145217895508
18,0.9375,0.64365154504776,0.01,0.9583333134651184,0.556232750415802
19,0.9583333134651184,0.6350739002227783,0.01,0.875,0.5316735506057739
20,0.8541666865348816,0.6270485520362854,0.01,0.875,0.5182278156280518
21,0.7916666865348816,0.6102525591850281,0.01,1.0,0.5297860503196716
22,0.9166666865348816,0.6023657917976379,0.01,1.0,0.5130071043968201
23,0.8541666865348816,0.5979945659637451,0.01,1.0,0.5000947117805481
24,0.9479166865348816,0.5802885890007019,0.01,1.0,0.4849652945995331
25,0.9166666865348816,0.5702416300773621,0.01,1.0,0.48114943504333496
26,0.96875,0.5608636736869812,0.01,0.9583333134651184,0.46008625626564026
27,0.9166666865348816,0.5523767471313477,0.01,1.0,0.46025094389915466
28,0.9479166865348816,0.5491164326667786,0.01,0.9583333134651184,0.4373643100261688
29,0.9270833134651184,0.5406308770179749,0.01,0.9583333134651184,0.42590010166168213
30,0.8333333134651184,0.5510703921318054,0.01,0.9583333134651184,0.42340198159217834
31,0.8229166865348816,0.5543883442878723,0.01,0.9166666865348816,0.4403359889984131
32,0.78125,0.5441475510597229,0.01,1.0,0.4173422157764435
33,0.9479166865348816,0.509324848651886,0.01,0.9583333134651184,0.42149344086647034
34,0.9375,0.5083685517311096,0.01,1.0,0.4057702124118805
35,0.9479166865348816,0.49490270018577576,0.01,1.0,0.3983668088912964
36,0.84375,0.5028838515281677,0.01,0.875,0.41973766684532166
37,0.8854166865348816,0.5039780139923096,0.01,1.0,0.3912394046783447
38,0.9375,0.48039475083351135,0.01,0.9166666865348816,0.3944041430950165
39,0.8645833134651184,0.48544278740882874,0.01,0.9166666865348816,0.3982444703578949
40,0.9166666865348816,0.47386059165000916,0.01,0.9166666865348816,0.35027363896369934
41,0.9479166865348816,0.4653191566467285,0.01,1.0,0.3577037751674652
42,0.9270833134651184,0.4577527940273285,0.01,1.0,0.3491647243499756
